DesignName,L/B_SynthWns,L/P_SynthWns,L/B_PlaceWns,L/P_PlaceWns,L/B_RouteWns,L/P_RouteWns,PATH_TYPE,REQUIREMENT,PATH_DELAY,LOGIC_DELAY,NET_DELAY,SKEW,WNS,ClockRelationship,LOGIC_LEVELS,LOGICAL_PATH,STARTPOINT_CLOCK,ENDPOINT_CLOCK,STARTPOINT_PIN,ENDPOINT_PIN,COMB_DSP,DOA_REG,DOB_REG,MREG,PREG,BRAM_CROSSINGS,DSP_CROSSINGS,IO_CROSSINGS,CONFIG_CROSSINGS,SLR_CROSSINGS,BOUNDING_BOX_SIZE,CLOCK_REGION_DISTANCE,PBLOCKS,HIGH_FANOUT,CUMULATIVE_FANOUT,DONT_TOUCH,MARK_DEBUG,FIXED_LOC,FIXED_ROUTE,HOLD_FIX_DETOUR,COMBINED_LUT_PAIRS,End Point Clock,clk,INITWNS,PLACEWNS,PREROUTEWNS,ROUTEWNS,WNSDIFF,ROUTEWNSDIFF,PREROUTEWHS,ROUTEWHS,PREROUTETHS,ROUTETHS,WHSDIFF,THSDIFF,DP_STARTWL,DP_ENDWL,% WLVAR,NORTHPLACECONG,NORTHROUTECONG,NORTHCONGDIFF,SOUTHPLACECONG,SOUTHROUTECONG,SOUTHCONGDIFF,EASTPLACECONG,EASTROUTECONG,EASTCONGDIFF,WESTPLACECONG,WESTROUTECONG,WESTCONGDIFF,CLK,ArpIcmpTop_clk,fft_gen_top_clk,oam_clk_0,oam_clk_1,oam_clk_10,oam_clk_11,oam_clk_12,oam_clk_13,oam_clk_14,oam_clk_15,oam_clk_16,oam_clk_17,oam_clk_2,oam_clk_3,oam_clk_4,oam_clk_5,oam_clk_6,oam_clk_7,oam_clk_8,oam_clk_9,MMCME2_ADV_inst_n_6_BUFG_inst_n_0,input_paths,ref_clk_in,**async_default**,TcpIp6Top_clk,clock,proc_clk_pin,rx_clk_pin,sys_clk_pin,tx_clk_pin,filter_clk,multi_lut_clk,ram_clk,s1_clk,chip_n_clk_pad,hydra_clk1,i_clk,i_clock,i_sdclock_25,i_sdclock_50,i_sd_clock,clk_mmcm,**default**,clkout1,clkout2,clkout0,apb_clock,FSL_Clk,ClkVfag,clk0_sys,clk10_rx,clk10_sys,clk11_sys,clk12_sys,clk13_sys,clk14_sys,clk15_sys,clk16_sys,clk17_sys,clk18_sys,clk19_sys,clk1_sys,clk2_sys,clk3_sys,clk4_sys,clk5_sys,clk6_sys,clk7_sys,clk8_sys,clk9_sys,clk_core,clk_mrisc,XCLK,clk1x,clk2x,mii_rxc,pif_clk,sonet_rxc,sonet_txc,core_clk,pipe_clk,pci_clk,tck,mrx_clk_pad_i,mtx_clk_pad_i,clk_int,mclk_i,PAD_MEM_CLK,clk_channel_i,clk_proc_i,iwb_clk_i,TS_clock,aclk,CLK_33,global_90_mhz,p_sys_pll_ref_clk,pad_clk106,clk_tick,TxTop,WRAPPER_CLOCK,rx_clk,clock_54
softjin_multichannel_audio_processor_v7,1.000,1.000,0.938,1.000,0.958,1.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000071,0.000068,-4.411764706,1,0,-1,0,1,1,1,0,-1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tcpip6_packet_parser_k7,1.242,1.000,1.137,1.000,1.137,1.000,SETUP,1.67000,3.44300,1.330(39%),2.113(61%),-0.20000,-2.47100,Safely Timed,2,RAMB18E2->LUT6->LUT2->RAMB36E2,clk,clk,RAMB18E2/CLKARDCLK,RAMB36E2/ENARDEN,0,0,0,0,0,3,3,0,0,0,14%x15%,"0,0",0,58,78,0,0,0,0,0,1,-,-,-2.14100,-2.82200,-2.46850,-2.46800,0.35350,0.00050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tcpip6_packet_parser_k7,1.242,1.000,1.137,1.000,1.137,1.000,HOLD,0.00000,0.14200,0.048(34%),0.094(66%),0.05700,0.02900,Safely Timed,0,FDRE->FDRE,clk,clk,FDRE/C,FDRE/D,0,0,0,0,0,0,0,0,0,0,0%x0%,"0,0",0,1,1,0,0,0,0,0,0,0,23,-,-,-,-,-,-,-0.17200,0.03000,-46.11800,0.00000,0.20200,46.11800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tcpip6_packet_parser_k7,1.242,1.000,1.137,1.000,1.137,1.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000203,0.000197,-3.045685279,2,4,2,4,2,-2,4,3,-1,2,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c_improve,1.112,1.000,0.929,1.000,1.035,1.000,SETUP,1.67000,2.80100,1.457(53%),1.344(47%),-0.12900,-1.23800,Safely Timed,9,FDRE->LUT2->CARRY8->CARRY8->LUT2->CARRY8->CARRY8->LUT2->CARRY8->CARRY8->FDRE,ref_clk_in,ref_clk_in,FDRE/C,FDRE/D,0,0,0,0,0,0,0,0,0,0,4%x0%,"0,0",0,4,13,0,0,0,0,0,0,-,-,-1.10100,-1.25100,-1.28590,-1.23700,-0.03490,0.04890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c_improve,1.112,1.000,0.929,1.000,1.035,1.000,HOLD,0.00000,0.12500,0.125(100%),0.000(0%),0.00000,0.00500,Safely Timed,0,SRLC32E->SRL16E,ref_clk_in,ref_clk_in,SRLC32E/CLK,SRL16E/D,0,0,0,0,0,0,0,0,0,0,0%x0%,"0,0",0,1,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-0.11700,-0.00400,-22.87000,-0.28200,0.11300,22.58800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c_improve,1.112,1.000,0.929,1.000,1.035,1.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000072,0.000075,4,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ArpIcmp_packet_processor_v7,1.255,1.000,0.998,1.000,1.067,1.000,SETUP,1.67000,2.54400,0.409(17%),2.135(83%),-0.13800,-0.98700,Safely Timed,3,FDRE->LUT6->MUXF7->MUXF8->FDRE,clk,clk,FDRE/C,FDRE/D,0,0,0,0,0,0,0,0,0,0,1%x2%,"0,0",0,135,138,0,0,0,0,0,0,-,-,-1.69900,-0.73900,-0.76160,-0.97200,-0.02260,-0.21040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ArpIcmp_packet_processor_v7,1.255,1.000,0.998,1.000,1.067,1.000,HOLD,0.00000,0.12500,0.125(100%),0.000(0%),0.00000,0.00500,Safely Timed,0,SRLC32E->SRL16E,clk,clk,SRLC32E/CLK,SRL16E/D,0,0,0,0,0,0,0,0,0,0,0%x0%,"0,0",0,1,1,0,0,0,0,0,0,0,856,-,-,-,-,-,-,-0.17600,-0.00400,-38.27800,-0.02400,0.17200,38.25400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ArpIcmp_packet_processor_v7,1.255,1.000,0.998,1.000,1.067,1.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000103,0.000113,8.849557522,3,3,0,4,2,-2,4,1,-3,3,1,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
